,project,global_tags,operators,XP,cell_lines,coating,thawing,cell_number,seeding,culture,fixation,mesurement,plate_ref,comments,staining,measurement
182,DM1,"['ImmortalizedMyoblasts', 'Scenario1', 'Scenario2', 'Automation', '10X', 'Bin2x2', 'SoftwareFocus']","{'XP': 'AW', 'staining': 'AW'}",Automation 1,"['DM1#exp001', 'WT#exp001']",[],"[{'date': '10/15/2020', 'tag': '2 vials'}]",,"[{'date': '10/15/2020', 'tag': '6k'}, {'date': '10/15/2020', 'tag': '10k'}]","Scenario1:
D0 - Seeding in Proliferation medium
D1 - Medium change to Differentiation Medium
D2 - Pharmacological treatments

Scenario2:
D0 - Seeding in Proliferation Medium
D1 - Medium change and Pharmacological treatment in Differentiation Medium

Short Protocol: D6 - Fixation
Pulse Protocol: D5 - Half Medium change (no treatment back), D9 - Fixation","[{'date': '10/20/2020', 'tag': 'D6 (Short protocol)'}, {'date': '10/23/2020', 'tag': 'D9 (Pulse protocol)'}]",201022-Automation1 bin2X2 SoftwareFocus D6,['Greiner 781091'],,"[{'date': '10/20/2020', 'primary_anti': 'MF-20', 'primary_ref': '', 'primary_dil': {'value': '200.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}, {'date': '10/20/2020', 'primary_anti': 'Hoechst 33342', 'primary_ref': '', 'primary_dil': {'value': '10000.00', 'unit': 'X'}, 'primary_batch': '', 'secondary_anti': '', 'secondary_ref': '', 'secondary_dil': {'value': '1000.00', 'unit': 'X'}, 'secondary_batch': ''}]",
183,DM1,,,QC3,"['DM1-WT-red caps', 'DM1-DM1-purple caps']","{'date': 'Wed Sep 30 2020', 'tag': 'Precoated'}","{'date': 'Wed Sep 30 2020', 'tag': ''}",,"{'date': 'Wed Sep 30 2020', 'tag': []}",,"{'date': 'Wed Sep 30 2020', 'tag': ''}","DM1-DIG-1-10X-2x2-MP,DM1-QC1-10X-2x2-MP,DM1-QC2-10X-2x2-MP",,,"[{'primary_anti': 'Myosin', 'primary_ref': 'MF-20', 'primary_dil': '1:200', 'secondary_anti': 'AF594', 'secondary_ref': 'A', 'secondary_dil': '1:1000'}]",
184,DM1,[],,,,,,,,,,,,,,
185,DM1,[],,,,,,,,,,,,,,
186,DM1,,,QC3,"['DM1-WT-red caps', 'DM1-DM1-purple caps']","{'date': 'Wed Sep 30 2020', 'tag': 'Precoated'}","{'date': 'Wed Sep 30 2020', 'tag': ''}",,"{'date': 'Wed Sep 30 2020', 'tag': []}",,"{'date': 'Wed Sep 30 2020', 'tag': ''}","DM1-DIG-1-10X-2x2-MP,DM1-QC1-10X-2x2-MP,DM1-QC2-10X-2x2-MP",,,"[{'primary_anti': 'Myosin', 'primary_ref': 'MF-20', 'primary_dil': '1:200', 'secondary_anti': 'AF594', 'secondary_ref': 'A', 'secondary_dil': '1:1000'}]",
187,DM1,,,QC3,"['DM1-WT-red caps', 'DM1-DM1-purple caps']","{'date': 'Wed Sep 30 2020', 'tag': 'Precoated'}","{'date': 'Wed Sep 30 2020', 'tag': ''}",,"{'date': 'Wed Sep 30 2020', 'tag': []}",,"{'date': 'Wed Sep 30 2020', 'tag': ''}","DM1-DIG-1-10X-2x2-MP,DM1-QC1-10X-2x2-MP,DM1-QC2-10X-2x2-MP",,,"[{'primary_anti': 'Myosin', 'primary_ref': 'MF-20', 'primary_dil': '1:200', 'secondary_anti': 'AF594', 'secondary_ref': 'A', 'secondary_dil': '1:1000'}]",
188,DM1,[],,,,,,,,,,,,,,
189,YokoCalibration,[],,,,,,,,,,,,,,
190,YokoCalibration,[],,,,,,,,,,,,,,
191,YokoCalibration,[],,,,,,,,,,,,,,
