Gene,Gene name,Cell line,TPM,pTPM,nTPM
ENSG00000073584,SMARCE1,U2OS,112.0,139.6,107.3
ENSG00000073614,KDM5A,U2OS,19.2,24.0,18.3
ENSG00000073670,ADAM11,U2OS,1.4,1.8,1.4
ENSG00000073711,PPP2R3A,U2OS,6.3,7.8,6.1
ENSG00000073734,ABCB11,U2OS,0.0,0.0,0.0
ENSG00000073737,DHRS9,U2OS,0.2,0.3,0.2
ENSG00000073754,CD5L,U2OS,0.0,0.0,0.0
ENSG00000073756,PTGS2,U2OS,0.5,0.6,0.5
ENSG00000073803,MAP3K13,U2OS,26.4,32.9,25.3
ENSG00000073849,ST6GAL1,U2OS,3.2,4.1,3.1
ENSG00000073861,TBX21,U2OS,0.0,0.0,0.0
ENSG00000073969,NSF,U2OS,13.8,17.3,13.2
ENSG00000074047,GLI2,U2OS,19.7,24.6,18.8
ENSG00000074181,NOTCH3,U2OS,22.7,28.3,21.5
ENSG00000074211,PPP2R2C,U2OS,21.9,27.4,21.0
ENSG00000074219,TEAD2,U2OS,38.1,47.6,36.2
ENSG00000074266,EED,U2OS,42.2,52.7,40.7
ENSG00000074319,TSG101,U2OS,36.2,45.2,34.9
ENSG00000074370,ATP2A3,U2OS,2.6,3.3,2.5
ENSG00000074410,CA12,U2OS,17.5,21.8,16.6
ENSG00000074416,MGLL,U2OS,11.1,13.9,10.7
ENSG00000074582,BCS1L,U2OS,26.4,32.9,25.4
ENSG00000074621,SLC24A1,U2OS,3.9,4.9,3.7
ENSG00000074771,NOX3,U2OS,0.0,0.0,0.0
ENSG00000074800,ENO1,U2OS,2312.4,2880.9,2219.0
ENSG00000074803,SLC12A1,U2OS,0.0,0.0,0.0
ENSG00000074842,MYDGF,U2OS,131.9,164.4,126.9
ENSG00000074855,ANO8,U2OS,5.4,6.8,5.1
ENSG00000074935,TUBE1,U2OS,3.6,4.5,3.5
ENSG00000074966,TXK,U2OS,0.0,0.0,0.0
ENSG00000075073,TACR2,U2OS,0.2,0.3,0.2
ENSG00000075151,EIF4G3,U2OS,20.6,25.7,19.7
ENSG00000075218,GTSE1,U2OS,82.0,102.3,78.4
ENSG00000075239,ACAT1,U2OS,42.4,52.8,40.6
ENSG00000075275,CELSR1,U2OS,0.3,0.3,0.3
ENSG00000075388,FGF4,U2OS,0.1,0.1,0.1
ENSG00000075391,RASAL2,U2OS,15.6,19.5,15.0
ENSG00000075407,ZNF37A,U2OS,9.7,12.1,9.4
ENSG00000075415,SLC25A3,U2OS,402.3,501.6,386.2
ENSG00000075426,FOSL2,U2OS,84.6,105.4,80.8
ENSG00000075429,CACNG5,U2OS,0.1,0.2,0.1
ENSG00000075643,MOCOS,U2OS,3.2,3.9,3.0
ENSG00000075651,PLD1,U2OS,5.9,7.4,5.6
ENSG00000075673,ATP12A,U2OS,0.0,0.0,0.0
ENSG00000075711,DLG1,U2OS,29.6,36.9,28.4
ENSG00000075785,RAB7A,U2OS,81.2,101.0,78.4
ENSG00000075790,BCAP29,U2OS,45.0,56.0,43.5
ENSG00000075891,PAX2,U2OS,0.8,1.0,0.8
ENSG00000075914,EXOSC7,U2OS,45.5,56.8,43.8
ENSG00000075945,KIFAP3,U2OS,8.3,10.3,8.0
ENSG00000075975,MKRN2,U2OS,19.9,24.8,19.1
ENSG00000076003,MCM6,U2OS,51.9,64.8,49.5
ENSG00000076043,REXO2,U2OS,160.9,200.1,155.7
ENSG00000076108,BAZ2A,U2OS,46.9,58.5,44.9
ENSG00000076201,PTPN23,U2OS,19.7,24.5,18.8
ENSG00000076242,MLH1,U2OS,49.2,61.3,47.1
ENSG00000076248,UNG,U2OS,54.1,67.5,51.9
ENSG00000076258,FMO4,U2OS,0.4,0.5,0.4
ENSG00000076351,SLC46A1,U2OS,8.6,10.8,8.2
ENSG00000076555,ACACB,U2OS,1.8,2.3,1.7
ENSG00000076604,TRAF4,U2OS,42.7,53.2,40.9
ENSG00000076685,NT5C2,U2OS,19.1,23.8,18.4
ENSG00000076864,RAP1GAP,U2OS,3.4,4.3,3.3
ENSG00000076924,XAB2,U2OS,28.5,35.5,27.3
ENSG00000076984,MAP2K7,U2OS,18.1,22.6,17.4
ENSG00000077009,NMRK2,U2OS,0.0,0.0,0.0
ENSG00000077044,DGKD,U2OS,3.7,4.6,3.6
ENSG00000077092,RARB,U2OS,0.2,0.3,0.2
ENSG00000077097,TOP2B,U2OS,47.9,59.7,45.8
ENSG00000077150,NFKB2,U2OS,23.6,29.3,22.6
ENSG00000077152,UBE2T,U2OS,106.2,132.3,102.1
ENSG00000077157,PPP1R12B,U2OS,2.1,2.6,2.0
ENSG00000077232,DNAJC10,U2OS,38.3,47.8,36.7
ENSG00000077235,GTF3C1,U2OS,22.5,28.1,21.5
ENSG00000077238,IL4R,U2OS,7.7,9.6,7.4
ENSG00000077254,USP33,U2OS,30.8,38.3,29.5
ENSG00000077264,PAK3,U2OS,3.8,4.8,3.7
ENSG00000077274,CAPN6,U2OS,0.8,1.0,0.7
ENSG00000077348,EXOSC5,U2OS,30.9,38.5,29.9
ENSG00000077380,DYNC1I2,U2OS,89.2,111.2,85.6
ENSG00000077463,SIRT6,U2OS,9.7,12.1,9.3
ENSG00000077498,TYR,U2OS,0.1,0.1,0.1
ENSG00000077585,GPR137B,U2OS,6.3,7.9,6.1
ENSG00000077616,NAALAD2,U2OS,1.9,2.4,1.8
